U01,report anywhere,5
U01,report togo,30
U02,add check,8
U02,report anywhere,12
U02,report togo,6
U03,report togo,22
U04,add check,1
U04,report anywhere,7
U04,report togo,6
U05,add check,2
U05,report anywhere,2
U05,report togo,5
U06,report anywhere,27
U06,report togo,8
U07,report anywhere,19
U07,report togo,10
U08,add check,16
U08,report anywhere,8
U08,report togo,1
U09,add check,6
U09,report anywhere,4
U09,report togo,9
U10,report anywhere,1
U10,report togo,5
U11,report anywhere,1
U11,report togo,14
U12,add check,24
U12,report anywhere,14
U12,report togo,5
U13,add check,6
U13,report togo,15
U14,report anywhere,9
U14,report togo,8
U15,add check,15
U15,report anywhere,11
U15,report togo,6
U16,add check,8
U16,report togo,7
U17,report anywhere,7
U17,report togo,1
U18,add check,5
U18,report anywhere,10
U18,report togo,9
U19,report anywhere,7
U19,report togo,13
U2,report togo,1
U20,report togo,11
U21,report togo,5
U22,report togo,8
U23,add check,6
U23,report anywhere,9
U23,report togo,9
U24,report anywhere,8
U24,report togo,11
U25,add check,12
U25,report anywhere,6
U25,report togo,4
U26,report anywhere,9
U26,report togo,12
U27,report anywhere,8
U27,report togo,5
U28,add check,1
U28,report anywhere,1
U28,report togo,10
U29,report anywhere,6
U30,add check,15
U30,report anywhere,10
U30,report togo,8
U31,add check,1
U31,report anywhere,16
U31,report togo,20
U32,report anywhere,14
U32,report togo,29
U33,add check,20
U33,report anywhere,7
U33,report togo,8
U34,add check,5
U34,report togo,22
U35,report anywhere,7
U35,report togo,15
U36,add check,19
U36,report togo,16
U37,report anywhere,2
U37,report togo,15
U38,report anywhere,17
U38,report togo,2
U39,report anywhere,10
U39,report togo,8
U40,add check,4
U40,report anywhere,3
U40,report togo,1
U41,add check,5
U41,report anywhere,4
U41,report togo,10
U42,report anywhere,10
U42,report togo,5
U43,add check,6
U43,report togo,28
U44,add check,13
U44,report togo,19
U45,add check,2
U45,report anywhere,6
U45,report togo,3
U46,report anywhere,3
U46,report togo,12
U47,report anywhere,21
U47,report togo,11
U48,report anywhere,2
U48,report togo,12
U49,report anywhere,2
U49,report togo,4
U51,report anywhere,13
U51,report togo,8
U53,add check,7
U53,report anywhere,14
U53,report togo,6
U54,add check,8
U54,report anywhere,8
U54,report togo,11
U55,report togo,17
U56,add check,19
U56,report anywhere,2
U56,report togo,14
U59,add check,9
U59,report anywhere,4
U59,report togo,6
U60,report anywhere,9
U60,report togo,12
U61,add check,7
U61,report anywhere,6
U61,report togo,5
U62,add check,26
U62,report anywhere,1
U63,add check,12
U63,report anywhere,8
U63,report togo,3
U64,add check,17
U64,report anywhere,15
U64,report togo,6
U65,report anywhere,7
U65,report togo,6
U66,report anywhere,7
U66,report togo,9
U67,report anywhere,6
U67,report togo,6
U68,add check,6
U68,report anywhere,5
U68,report togo,13
U69,add check,7
U69,report anywhere,11
U69,report togo,7
U70,report anywhere,3
U70,report togo,36
U71,add check,11
U71,report anywhere,7
U71,report togo,13
U72,add check,2
U72,report anywhere,5
U72,report togo,7
U73,report anywhere,5
U73,report togo,5
U74,report anywhere,8
U74,report togo,13
U75,report anywhere,17
U75,report togo,5
U76,add check,2
U76,report anywhere,2
U76,report togo,7
U78,report anywhere,8
U78,report togo,10
U79,add check,1
U79,report anywhere,8
U79,report togo,22
U80,report anywhere,17
U80,report togo,4
U81,report togo,24