uid,name,location,togo,notification hot checkin,news hot checkin,notification hot spot,news hot spot,viewed checkin,liked,saved
U78,兩津堪吉,金色水岸,True,False,False,False,False,False,False,False
U78,兩津堪吉,蒸汽火車BK20,True,False,False,False,False,False,False,False
U78,兩津堪吉,金色水岸自行車道,True,False,False,False,False,False,False,False
U78,兩津堪吉,藝術穿堂,True,False,False,False,False,False,False,False
U78,兩津堪吉,藝術工坊,True,False,False,False,False,False,False,False
U78,兩津堪吉,英國領事館,True,False,False,False,False,False,False,False
U78,兩津堪吉,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U74,Alice,桂橡花園,True,False,False,False,False,False,False,False
U74,Alice,金色水岸,True,False,False,False,False,False,False,False
U74,Alice,英專夜市,True,False,False,False,False,False,False,False
U35,陳郁雯,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U06,阿光,淡水老街,True,False,False,False,False,False,False,False
U06,阿光,之間茶食器,True,False,False,False,False,False,False,False
U06,阿光,老牌阿給,True,False,False,False,False,False,False,False
U06,阿光,漁業生活文化影像館,True,False,False,False,False,False,False,False
U19,Kiara,淡水渡船頭,True,False,False,False,False,False,False,False
U19,Kiara,淡水榕樹道,True,False,False,False,False,False,False,False
U19,Kiara,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U19,Kiara,重建街戀愛巷,True,False,False,False,False,False,False,False
U38,氣質,淡水老街,True,False,False,False,False,False,False,False
U38,氣質,真理大學禮拜堂,True,False,False,False,False,False,False,False
U38,氣質,白樓故事牆,True,False,False,False,False,False,False,False
U38,氣質,小白宮,True,False,False,False,False,False,False,False
U38,氣質,紅毛城,True,False,False,False,False,False,False,False
U38,氣質,得忌利士洋行,True,False,False,False,False,False,False,False
U38,氣質,藝術穿堂,True,False,False,False,False,False,False,False
U38,氣質,淡水文化園區-殼牌倉庫,True,False,False,False,False,False,False,False
U38,氣質,阿婆鐵蛋,True,False,False,False,False,False,False,False
U38,氣質,英國領事館,True,False,False,False,False,False,False,False
U38,氣質,信不信由你搜奇博物館,True,False,False,False,False,False,False,False
U38,氣質,淡水禮拜堂,True,False,False,False,False,False,False,False
U38,氣質,藝術工坊,True,False,False,False,False,False,False,False
U38,氣質,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U29,p3,馬偕租屋處,True,False,False,False,False,False,False,False
U29,p3,馬偕銅像,True,False,False,False,False,False,False,False
U29,p3,紅樓中餐廳,True,False,False,False,False,False,False,False
U29,p3,英國領事館,True,False,False,False,False,False,False,False
U29,p3,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U17,Lily,三協成博物館,True,False,False,False,False,False,False,False
U17,Lily,重建街戀愛巷,True,False,False,False,False,False,False,False
U17,Lily,淡水文化園區-殼牌倉庫,True,False,False,False,False,False,False,False
U17,Lily,白樓故事牆,True,False,False,False,False,False,False,False
U17,Lily,龍山寺,True,False,False,False,False,False,False,False
U17,Lily,小白宮,True,False,False,False,False,False,False,False
U17,Lily,木下靜涯紀念公園,True,False,False,False,False,False,False,False
U39,kk,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U11,藍,淡水老街,True,False,False,False,False,False,False,False
U11,藍,馬偕租屋處,True,False,False,False,False,False,False,False
U11,藍,淡水禮拜堂,True,False,False,False,False,False,False,False
U11,藍,藝術工坊,True,False,False,False,False,False,False,False
U11,藍,牧師樓,True,False,False,False,False,False,False,False
U11,藍,滬尾偕醫館,True,False,False,False,False,False,False,False
U11,藍,白樓故事牆,True,False,False,False,False,False,False,False
U11,藍,源味本舖現烤蛋糕,True,False,False,False,False,False,False,False
U11,藍,淡水榕樹道,True,False,False,False,False,False,False,False
U11,藍,金色水岸,True,False,False,False,False,False,False,False
U11,藍,姑娘樓,True,False,False,False,False,False,False,False
U11,藍,可口魚丸,True,False,False,False,False,False,False,False
U11,藍,重建街戀愛巷,True,False,False,False,False,False,False,False
U11,藍,藝術穿堂,True,False,False,False,False,False,False,False
U11,藍,海關碼頭,True,False,False,False,False,False,False,False
U11,藍,淡水渡船頭,True,False,False,False,False,False,False,False
U11,藍,三協成博物館,True,False,False,False,False,False,False,False
U11,藍,之間茶食器,True,False,False,False,False,False,False,False
U11,藍,老牌阿給,True,False,False,False,False,False,False,False
U11,藍,理學堂大書院,True,False,False,False,False,False,False,False
U11,藍,得忌利士洋行,True,False,False,False,False,False,False,False
U11,藍,清水巖,True,False,False,False,False,False,False,False
U11,藍,福佑宮,True,False,False,False,False,False,False,False
U11,藍,真理大學,True,False,False,False,False,False,False,False
U11,藍,龍山寺,True,False,False,False,False,False,False,False
U11,藍,教士會館,True,False,False,False,False,False,False,False
U11,藍,馬偕上岸處,True,False,False,False,False,False,False,False
U11,藍,淡水捷運站,True,False,False,False,False,False,False,False
U11,藍,長堤咖啡餐館,True,False,False,False,False,False,False,False
U11,藍,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U11,藍,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U73,paul,阿媽的酸梅湯,True,False,False,False,False,False,False,False
U73,paul,合益魚酥,True,False,False,False,False,False,False,False
U73,paul,小白宮,True,False,False,False,False,False,False,False
U73,paul,姑娘樓,True,False,False,False,False,False,False,False
U73,paul,紅毛城,True,False,False,False,False,False,False,False
U73,paul,可口魚丸,True,False,False,False,False,False,False,False
U73,paul,老牌阿給,True,False,False,False,False,False,False,False
U73,paul,真理大學/淡水老街,True,False,False,False,False,False,False,False
U73,paul,英國領事館,True,False,False,False,False,False,False,False
U73,paul,阿婆鐵蛋,True,False,False,False,False,False,False,False
U55,cooljaby,真理大學禮拜堂,True,False,False,False,False,False,False,False
U55,cooljaby,小白宮,True,False,False,False,False,False,False,False
U55,cooljaby,長堤咖啡餐館,True,False,False,False,False,False,False,False
U55,cooljaby,淡水禮拜堂,True,False,False,False,False,False,False,False
U55,cooljaby,文化阿給,True,False,False,False,False,False,False,False
U55,cooljaby,真理大學,True,False,False,False,False,False,False,False
U55,cooljaby,桂橡花園,True,False,False,False,False,False,False,False
U55,cooljaby,老牌阿給,True,False,False,False,False,False,False,False
U55,cooljaby,馬偕租屋處,True,False,False,False,False,False,False,False
U55,cooljaby,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U70,李昱蓉,馬偕租屋處,True,False,False,False,False,False,False,False
U70,李昱蓉,信不信由你搜奇博物館,True,False,False,False,False,False,False,False
U70,李昱蓉,淡水禮拜堂,True,False,False,False,False,False,False,False
U70,李昱蓉,藝術工坊,True,False,False,False,False,False,False,False
U70,李昱蓉,滬尾偕醫館,True,False,False,False,False,False,False,False
U70,李昱蓉,白樓故事牆,True,False,False,False,False,False,False,False
U70,李昱蓉,金色水岸,True,False,False,False,False,False,False,False
U70,李昱蓉,海風餐廳,True,False,False,False,False,False,False,False
U70,李昱蓉,重建街戀愛巷,True,False,False,False,False,False,False,False
U70,李昱蓉,藝術穿堂,True,False,False,False,False,False,False,False
U70,李昱蓉,馬偕銅像,True,False,False,False,False,False,False,False
U70,李昱蓉,淡水渡船頭,True,False,False,False,False,False,False,False
U70,李昱蓉,英專夜市,True,False,False,False,False,False,False,False
U70,李昱蓉,金色水岸自行車道,True,False,False,False,False,False,False,False
U70,李昱蓉,馬偕上岸處,True,False,False,False,False,False,False,False
U70,李昱蓉,淡水捷運站,True,False,False,False,False,False,False,False
U70,李昱蓉,龍山寺,True,False,False,False,False,False,False,False
U70,李昱蓉,鄞山寺,True,False,False,False,False,False,False,False
U70,李昱蓉,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U48,Josh,英國領事館,True,False,False,False,False,False,False,False
U42,鼻煙狐,馬偕租屋處,True,False,False,False,False,False,False,False
U42,鼻煙狐,文化阿給,True,False,False,False,False,False,False,False
U42,鼻煙狐,木下靜涯紀念公園,True,False,False,False,False,False,False,False
U42,鼻煙狐,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U47,koko,多田榮吉故居,True,False,False,False,False,False,False,False
U47,koko,桂橡花園,True,False,False,False,False,False,False,False
U47,koko,理學堂大書院,True,False,False,False,False,False,False,False
U47,koko,長堤咖啡餐館,True,False,False,False,False,False,False,False
U66,孟,英專夜市,True,False,False,False,False,False,False,False
U80,安平哥哥,之間茶食器,True,False,False,False,False,False,False,False
U80,安平哥哥,許義魚酥,True,False,False,False,False,False,False,False
U80,安平哥哥,金色水岸,True,False,False,False,False,False,False,False
U80,安平哥哥,海風餐廳,True,False,False,False,False,False,False,False
U80,安平哥哥,可口魚丸,True,False,False,False,False,False,False,False
U80,安平哥哥,藝術工坊,True,False,False,False,False,False,False,False
U80,安平哥哥,老牌阿給,True,False,False,False,False,False,False,False
U80,安平哥哥,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U80,安平哥哥,文化阿給,True,False,False,False,False,False,False,False
U80,安平哥哥,漁業生活文化影像館,True,False,False,False,False,False,False,False
U65,77,海關碼頭,True,False,False,False,False,False,False,False
U65,77,文化阿給,True,False,False,False,False,False,False,False
U07,少爺,老牌阿給,True,False,False,False,False,False,False,False
uid,name,location,togo,notification hot checkin,news hot checkin,notification hot spot,news hot spot,viewed checkin,liked,saved
U07,少爺,老牌阿給,True,False,False,False,False,False,False,False
U17,Lily,三協成博物館,True,False,False,False,False,False,False,False
U17,Lily,小白宮,True,False,False,False,False,False,False,False
U17,Lily,木下靜涯紀念公園,True,False,False,False,False,False,False,False
U17,Lily,白樓故事牆,True,False,False,False,False,False,False,False
U17,Lily,重建街戀愛巷,True,False,False,False,False,False,False,False
U17,Lily,淡水文化園區-殼牌倉庫,True,False,False,False,False,False,False,False
U17,Lily,龍山寺,True,False,False,False,False,False,False,False
U80,安平哥哥,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U80,安平哥哥,之間茶食器,True,False,False,False,False,False,False,False
U80,安平哥哥,文化阿給,True,False,False,False,False,False,False,False
U80,安平哥哥,可口魚丸,True,False,False,False,False,False,False,False
U80,安平哥哥,老牌阿給,True,False,False,False,False,False,False,False
U80,安平哥哥,金色水岸,True,False,False,False,False,False,False,False
U80,安平哥哥,海風餐廳,True,False,False,False,False,False,False,False
U80,安平哥哥,漁業生活文化影像館,True,False,False,False,False,False,False,False
U80,安平哥哥,藝術工坊,True,False,False,False,False,False,False,False
U80,安平哥哥,許義魚酥,True,False,False,False,False,False,False,False
U39,kk,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U19,Kiara,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U19,Kiara,重建街戀愛巷,True,False,False,False,False,False,False,False
U19,Kiara,淡水渡船頭,True,False,False,False,False,False,False,False
U19,Kiara,淡水榕樹道,True,False,False,False,False,False,False,False
U42,鼻煙狐,文化阿給,True,False,False,False,False,False,False,False
U42,鼻煙狐,木下靜涯紀念公園,True,False,False,False,False,False,False,False
U42,鼻煙狐,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U42,鼻煙狐,馬偕租屋處,True,False,False,False,False,False,False,False
U47,koko,多田榮吉故居,True,False,False,False,False,False,False,False
U47,koko,長堤咖啡餐館,True,False,False,False,False,False,False,False
U47,koko,桂橡花園,True,False,False,False,False,False,False,False
U47,koko,理學堂大書院,True,False,False,False,False,False,False,False
U55,cooljaby,小白宮,True,False,False,False,False,False,False,False
U55,cooljaby,文化阿給,True,False,False,False,False,False,False,False
U55,cooljaby,老牌阿給,True,False,False,False,False,False,False,False
U55,cooljaby,長堤咖啡餐館,True,False,False,False,False,False,False,False
U55,cooljaby,桂橡花園,True,False,False,False,False,False,False,False
U55,cooljaby,真理大學,True,False,False,False,False,False,False,False
U55,cooljaby,真理大學禮拜堂,True,False,False,False,False,False,False,False
U55,cooljaby,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U55,cooljaby,馬偕租屋處,True,False,False,False,False,False,False,False
U55,cooljaby,淡水禮拜堂,True,False,False,False,False,False,False,False
U38,氣質,小白宮,True,False,False,False,False,False,False,False
U38,氣質,白樓故事牆,True,False,False,False,False,False,False,False
U38,氣質,阿婆鐵蛋,True,False,False,False,False,False,False,False
U38,氣質,信不信由你搜奇博物館,True,False,False,False,False,False,False,False
U38,氣質,紅毛城,True,False,False,False,False,False,False,False
U38,氣質,英國領事館,True,False,False,False,False,False,False,False
U38,氣質,真理大學禮拜堂,True,False,False,False,False,False,False,False
U38,氣質,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U38,氣質,得忌利士洋行,True,False,False,False,False,False,False,False
U38,氣質,淡水文化園區-殼牌倉庫,True,False,False,False,False,False,False,False
U38,氣質,淡水老街,True,False,False,False,False,False,False,False
U38,氣質,淡水禮拜堂,True,False,False,False,False,False,False,False
U38,氣質,藝術工坊,True,False,False,False,False,False,False,False
U38,氣質,藝術穿堂,True,False,False,False,False,False,False,False
U70,李昱蓉,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U70,李昱蓉,白樓故事牆,True,False,False,False,False,False,False,False
U70,李昱蓉,金色水岸,True,False,False,False,False,False,False,False
U70,李昱蓉,金色水岸自行車道,True,False,False,False,False,False,False,False
U70,李昱蓉,信不信由你搜奇博物館,True,False,False,False,False,False,False,False
U70,李昱蓉,英專夜市,True,False,False,False,False,False,False,False
U70,李昱蓉,重建街戀愛巷,True,False,False,False,False,False,False,False
U70,李昱蓉,海風餐廳,True,False,False,False,False,False,False,False
U70,李昱蓉,馬偕上岸處,True,False,False,False,False,False,False,False
U70,李昱蓉,馬偕租屋處,True,False,False,False,False,False,False,False
U70,李昱蓉,馬偕銅像,True,False,False,False,False,False,False,False
U70,李昱蓉,淡水捷運站,True,False,False,False,False,False,False,False
U70,李昱蓉,淡水渡船頭,True,False,False,False,False,False,False,False
U70,李昱蓉,淡水禮拜堂,True,False,False,False,False,False,False,False
U70,李昱蓉,滬尾偕醫館,True,False,False,False,False,False,False,False
U70,李昱蓉,鄞山寺,True,False,False,False,False,False,False,False
U70,李昱蓉,龍山寺,True,False,False,False,False,False,False,False
U70,李昱蓉,藝術工坊,True,False,False,False,False,False,False,False
U70,李昱蓉,藝術穿堂,True,False,False,False,False,False,False,False
U35,陳郁雯,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U66,孟,英專夜市,True,False,False,False,False,False,False,False
U74,Alice,金色水岸,True,False,False,False,False,False,False,False
U74,Alice,英專夜市,True,False,False,False,False,False,False,False
U74,Alice,桂橡花園,True,False,False,False,False,False,False,False
U29,p3,紅樓中餐廳,True,False,False,False,False,False,False,False
U29,p3,英國領事館,True,False,False,False,False,False,False,False
U29,p3,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U29,p3,馬偕租屋處,True,False,False,False,False,False,False,False
U29,p3,馬偕銅像,True,False,False,False,False,False,False,False
U48,Josh,英國領事館,True,False,False,False,False,False,False,False
U78,兩津堪吉,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U78,兩津堪吉,金色水岸,True,False,False,False,False,False,False,False
U78,兩津堪吉,金色水岸自行車道,True,False,False,False,False,False,False,False
U78,兩津堪吉,英國領事館,True,False,False,False,False,False,False,False
U78,兩津堪吉,蒸汽火車BK20,True,False,False,False,False,False,False,False
U78,兩津堪吉,藝術工坊,True,False,False,False,False,False,False,False
U78,兩津堪吉,藝術穿堂,True,False,False,False,False,False,False,False
U06,阿光,之間茶食器,True,False,False,False,False,False,False,False
U06,阿光,老牌阿給,True,False,False,False,False,False,False,False
U06,阿光,淡水老街,True,False,False,False,False,False,False,False
U06,阿光,漁業生活文化影像館,True,False,False,False,False,False,False,False
U11,藍,3D意象彩繪階梯,True,False,False,False,False,False,False,False
U11,藍,三協成博物館,True,False,False,False,False,False,False,False
U11,藍,之間茶食器,True,False,False,False,False,False,False,False
U11,藍,可口魚丸,True,False,False,False,False,False,False,False
U11,藍,白樓故事牆,True,False,False,False,False,False,False,False
U11,藍,老牌阿給,True,False,False,False,False,False,False,False
U11,藍,姑娘樓,True,False,False,False,False,False,False,False
U11,藍,牧師樓,True,False,False,False,False,False,False,False
U11,藍,金色水岸,True,False,False,False,False,False,False,False
U11,藍,長堤咖啡餐館,True,False,False,False,False,False,False,False
U11,藍,重建街戀愛巷,True,False,False,False,False,False,False,False
U11,藍,海關碼頭,True,False,False,False,False,False,False,False
U11,藍,真理大學,True,False,False,False,False,False,False,False
U11,藍,馬偕上岸處,True,False,False,False,False,False,False,False
U11,藍,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False
U11,藍,馬偕租屋處,True,False,False,False,False,False,False,False
U11,藍,得忌利士洋行,True,False,False,False,False,False,False,False
U11,藍,教士會館,True,False,False,False,False,False,False,False
U11,藍,淡水老街,True,False,False,False,False,False,False,False
U11,藍,淡水捷運站,True,False,False,False,False,False,False,False
U11,藍,淡水渡船頭,True,False,False,False,False,False,False,False
U11,藍,淡水榕樹道,True,False,False,False,False,False,False,False
U11,藍,淡水禮拜堂,True,False,False,False,False,False,False,False
U11,藍,清水巖,True,False,False,False,False,False,False,False
U11,藍,理學堂大書院,True,False,False,False,False,False,False,False
U11,藍,源味本舖現烤蛋糕,True,False,False,False,False,False,False,False
U11,藍,滬尾偕醫館,True,False,False,False,False,False,False,False
U11,藍,福佑宮,True,False,False,False,False,False,False,False
U11,藍,龍山寺,True,False,False,False,False,False,False,False
U11,藍,藝術工坊,True,False,False,False,False,False,False,False
U11,藍,藝術穿堂,True,False,False,False,False,False,False,False
U73,paul,小白宮,True,False,False,False,False,False,False,False
U73,paul,合益魚酥,True,False,False,False,False,False,False,False
U73,paul,老牌阿給,True,False,False,False,False,False,False,False
U73,paul,姑娘樓,True,False,False,False,False,False,False,False
U73,paul,阿婆鐵蛋,True,False,False,False,False,False,False,False
U73,paul,阿媽的酸梅湯,True,False,False,False,False,False,False,False
U73,paul,紅毛城,True,False,False,False,False,False,False,False
U73,paul,英國領事館,True,False,False,False,False,False,False,False
U73,paul,真理大學/淡水老街,True,False,False,False,False,False,False,False
U73,paul,可口魚丸,True,False,False,False,False,False,False,False
U65,77,文化阿給,True,False,False,False,False,False,False,False
U65,77,海關碼頭,True,False,False,False,False,False,False,False
